 + TIC Scan DR_328.D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt)
9,19.871,19.934,20.024,5490.34,25287.42,0.21,0.16,0.02,0.153,0.066,2468,2400,19.241,19.871,20.03,20.278,2468,2400,1.43,7930,,,  ,355.1,,,,,,,,,,
10,21.48,21.627,21.83,2837.28,29540,0.25,0.08,0.03,0.35,0.252,3159,3792,21.048,21.468,21.945,22.04,3039.63,3668.74,1.57,6140,,,  ,41.2,,,,,,,,,,
11,23.198,23.268,23.345,6471.76,22376.76,0.19,0.19,0.02,0.146,0.051,2696,2897,23.026,23.192,23.65,24,2666.4,2716.25,0.74,9162,,,  ,73.1,,,,,,,,,,
12,24.001,24.076,24.436,40374.08,307300.59,2.55,1.16,0.3,0.434,0.099,2697.85,5561.65,23.65,24,24.464,24.509,2697.85,5561.65,4.66,43564,,,  ,55.1,,,,,,,,,,
13,24.517,24.572,24.935,41432.76,336662.41,2.8,1.19,0.33,0.418,0.098,6424.37,7018,24.464,24.509,25.737,26.246,6424.37,6723.22,6.02,47897,,,  ,57.1,,,,,,,,,,
14,26.227,26.265,26.335,2302.83,6361.28,0.05,0.07,0.01,0.108,0.043,2247.79,2317,25.737,26.246,26.322,26.481,2247.79,2209.09,1.81,4537,,,  ,73.1,,,,,,,,,,
15,26.468,26.621,26.814,3739.65,42014.01,0.35,0.11,0.04,0.346,0.226,2250,2277.37,26.322,26.481,26.85,27.022,2241.55,2277.37,1.37,5997,,,  ,57.1,,,,,,,,,,
16,27.009,27.066,27.321,2064.09,20618.2,0.17,0.06,0.02,0.312,0.209,1775,1535,26.85,27.022,27.359,27.741,1775,1535,4.41,3795,,,  ,57.1,,,,,,,,,,
17,27.75,27.823,28.052,7188.59,62891.68,0.52,0.21,0.06,0.303,0.156,2413.74,3056,27.359,27.741,28.027,28.084,2413.74,2490.38,4.38,9621,,,  ,43.1,,,,,,,,,,
18,28.186,28.281,28.498,88334.68,468208.39,3.89,2.55,0.46,0.312,0.066,10132,11252,28.027,28.084,28.879,29.013,9519.11,11087.74,2.81,98334,,,  ,57.1,,,,,,,,,,
